Designator,Mid X,Mid Y,Rotation,Layer
C1,135.8011,-92.1386,270.0,bottom
C2,154.8511,-92.1386,270.0,bottom
C3,173.9011,-92.1386,270.0,bottom
C4,135.8011,-111.1886,270.0,bottom
C5,154.8511,-111.1886,270.0,bottom
C6,173.9011,-111.1886,270.0,bottom
C7,135.8011,-130.2386,270.0,bottom
C8,154.8511,-130.2386,270.0,bottom
C9,173.9011,-130.2386,270.0,bottom
LED1,129.4511,-90.8686,0.0,top
LED2,148.5011,-90.8686,0.0,top
LED3,167.5511,-90.8686,0.0,top
LED4,129.4511,-109.9186,0.0,top
LED5,148.5011,-109.9186,0.0,top
LED6,167.5511,-109.9186,0.0,top
LED7,129.4511,-128.9686,0.0,top
LED8,148.5011,-128.9686,0.0,top
LED9,167.5511,-128.9686,0.0,top
S1,130.0861,-98.3136,180.0,top
S2,149.1361,-98.3136,180.0,top
S3,168.1861,-98.3136,180.0,top
S4,130.0861,-117.3636,180.0,top
S5,149.1361,-117.3636,180.0,top
S6,168.1861,-117.3636,180.0,top
S7,130.0861,-136.4136,180.0,top
S8,149.1361,-136.4136,180.0,top
S9,168.1861,-136.4136,180.0,top
SW1,166.7891,-74.3586,0.0,top
TP1,121.8311,-125.1586,0.0,top
TP2,175.1711,-125.1586,0.0,top
TP3,121.8311,-83.2486,0.0,top
TP4,175.1711,-83.2486,0.0,top
U1,148.5011,-75.6486,0.0,bottom
